Time, Temperature(C), Humidity(%) 
1396430647.4, 25.33, 0
1396430647.4, 25.33, 44.24
1396430647.4, 25.33, 44.24
1396430647.4, 25.33, 44.24
1396430647.4, 25.33, 44.24
1396430647.4, 25.33, 44.24
1396430647.4, 25.33, 44.24
1396430647.4, 25.33, 44.24
1396430647.45, 25.11, 44.24
1396430647.46, 25.33, 44.24
1396430647.49, 25.11, 44.24
1396430647.5, 25.33, 44.24
1396430647.6, 25.11, 44.24
1396430647.61, 25.33, 44.24
1396430647.65, 25.11, 44.24
1396430647.65, 25.33, 44.24
1396430647.75, 25.11, 44.24
1396430647.76, 25.33, 44.24
1396430647.77, 25.11, 44.24
1396430647.77, 25.33, 44.24
1396430647.84, 25.11, 44.24
1396430647.85, 25.33, 44.24
1396430647.89, 25.11, 44.24
1396430647.89, 25.33, 44.24
1396430648.18, 25.11, 44.24
1396430648.19, 25.33, 44.24
1396430648.23, 25.11, 44.24
1396430648.24, 25.33, 44.24
1396430648.33, 25.11, 44.24
1396430648.33, 25.33, 44.24
1396430648.65, 25.11, 44.24
1396430648.67, 25.33, 44.24
1396430648.69, 25.11, 44.24
1396430648.69, 25.33, 44.24
1396430648.7, 25.11, 44.24
1396430648.71, 25.33, 44.24
1396430648.89, 25.11, 44.24
1396430648.89, 25.33, 44.24
1396430648.94, 25.11, 44.24
1396430648.96, 25.33, 44.24
1396430648.97, 25.11, 44.24
1396430648.97, 25.33, 44.24
1396430648.99, 25.11, 44.24
1396430649.0, 25.33, 44.24
1396430649.01, 25.11, 44.24
1396430649.02, 25.33, 44.24
1396430649.03, 25.11, 44.24
1396430649.04, 25.33, 44.24
1396430649.08, 25.11, 44.24
1396430649.09, 25.33, 44.24
1396430649.24, 25.11, 44.24
1396430649.25, 25.33, 44.24
1396430649.5, 25.11, 44.24
1396430649.51, 25.33, 44.24
1396430649.56, 25.11, 44.24
1396430649.57, 25.33, 44.24
1396430649.72, 25.11, 44.24
1396430649.73, 25.33, 44.24
1396430649.8, 25.11, 44.24
1396430649.81, 25.33, 44.24
1396430649.85, 25.11, 44.24
1396430649.86, 25.33, 44.24
1396430649.89, 25.11, 44.24
1396430649.9, 25.33, 44.24
1396430649.91, 25.11, 44.24
1396430649.92, 25.33, 44.24
1396430649.93, 25.11, 44.24
1396430649.93, 25.33, 44.24
1396430649.98, 25.11, 44.24
1396430649.99, 25.33, 44.24
1396430650.05, 25.11, 44.24
1396430650.06, 25.33, 44.24
1396430650.13, 25.11, 44.24
1396430650.14, 25.33, 44.24
1396430650.19, 25.11, 44.24
1396430650.2, 25.33, 44.24
1396430650.31, 25.11, 44.24
1396430650.32, 25.33, 44.24
1396430650.34, 25.11, 44.24
1396430650.35, 25.33, 44.24
1396430650.37, 25.11, 44.24
1396430650.37, 25.33, 44.24
1396430650.46, 25.11, 44.24
1396430650.47, 25.33, 44.24
1396430650.49, 25.11, 44.24
1396430650.5, 25.33, 44.24
1396430650.65, 25.11, 44.24
1396430650.65, 25.33, 44.24
1396430650.69, 25.11, 44.24
1396430650.69, 25.33, 44.24
1396430650.79, 25.11, 44.24
1396430650.8, 25.33, 44.24
1396430650.82, 25.11, 44.24
1396430650.83, 25.33, 44.24
1396430650.98, 25.11, 44.24
1396430650.99, 25.33, 44.24
1396430651.15, 25.11, 44.24
1396430651.16, 25.33, 44.24
1396430651.19, 25.11, 44.24
1396430651.2, 25.33, 44.24
1396430651.22, 25.11, 44.24
1396430651.23, 25.33, 44.24
1396430651.26, 25.11, 44.24
1396430651.27, 25.33, 44.24
1396430651.65, 25.11, 44.24
1396430651.66, 25.33, 44.24
1396430651.77, 25.11, 44.24
1396430651.78, 25.33, 44.24
1396430651.81, 25.11, 44.24
1396430651.81, 25.33, 44.24
1396430651.97, 25.11, 44.24
1396430651.98, 25.33, 44.24
1396430651.99, 25.11, 44.24
1396430652.0, 25.33, 44.24
1396430652.02, 25.11, 44.24
1396430652.03, 25.33, 44.24
1396430652.55, 25.11, 44.24
1396430652.56, 25.33, 44.24
1396430652.81, 25.11, 44.24
1396430652.82, 25.33, 44.24
1396430652.83, 25.11, 44.24
1396430652.84, 25.33, 44.24
1396430652.85, 25.11, 44.24
1396430652.86, 25.33, 44.24
1396430653.0, 25.11, 44.24
1396430653.01, 25.33, 44.24
1396430653.05, 25.11, 44.24
1396430653.06, 25.33, 44.24
1396430653.14, 25.11, 44.24
1396430653.15, 25.33, 44.24
1396430653.19, 25.11, 44.24
1396430653.2, 25.33, 44.24
1396430653.25, 25.11, 44.24
1396430653.26, 25.33, 44.24
1396430653.29, 25.11, 44.24
1396430653.3, 25.33, 44.24
1396430653.37, 25.11, 44.24
1396430653.38, 25.33, 44.24
1396430653.46, 25.11, 44.24
1396430653.47, 25.33, 44.24
1396430653.52, 25.11, 44.24
1396430653.53, 25.33, 44.24
1396430653.61, 25.11, 44.24
1396430653.62, 25.33, 44.24
1396430653.63, 25.11, 44.24
1396430653.64, 25.33, 44.24
1396430653.7, 25.11, 44.24
1396430653.71, 25.33, 44.24
1396430653.76, 25.11, 44.24
1396430653.77, 25.33, 44.24
1396430653.85, 25.11, 44.24
1396430653.86, 25.33, 44.24
1396430653.97, 25.11, 44.24
1396430653.98, 25.33, 44.24
1396430654.03, 25.11, 44.24
1396430654.04, 25.33, 44.24
1396430654.77, 25.11, 44.24
1396430654.79, 25.33, 44.24
1396430654.98, 25.11, 44.24
1396430655.0, 25.33, 44.24
1396430655.38, 25.11, 44.24
1396430655.4, 25.33, 44.24
1396430655.71, 25.11, 44.24
1396430655.72, 25.33, 44.24
1396430656.09, 25.11, 44.24
1396430656.1, 25.33, 44.24
1396430656.24, 25.11, 44.24
1396430656.25, 25.33, 44.24
1396430656.27, 25.11, 44.24
1396430656.28, 25.33, 44.24
1396430656.29, 25.11, 44.24
1396430656.3, 25.33, 44.24
1396430656.45, 25.11, 44.24
1396430656.46, 25.33, 44.24
1396430656.56, 25.11, 44.24
1396430656.57, 25.33, 44.24
1396430656.63, 25.11, 44.24
1396430656.64, 25.33, 44.24
1396430656.65, 25.11, 44.24
1396430656.66, 25.33, 44.24
1396430656.8, 25.11, 44.24
1396430656.81, 25.33, 44.24
1396430656.88, 25.11, 44.24
1396430656.89, 25.33, 44.24
1396430656.95, 25.11, 44.24
1396430656.96, 25.33, 44.24
1396430657.01, 25.11, 44.24
1396430657.02, 25.33, 44.24
1396430657.12, 25.11, 44.24
1396430657.12, 25.33, 44.24
1396430657.31, 25.11, 44.24
1396430657.32, 25.33, 44.24
1396430657.46, 25.11, 44.24
1396430657.47, 25.33, 44.24
1396430658.17, 25.11, 44.24
1396430658.18, 25.33, 44.24
1396430658.22, 25.11, 44.24
1396430658.23, 25.33, 44.24
1396430658.7, 25.11, 44.24
1396430658.72, 25.33, 44.24
1396430659.05, 25.11, 44.24
1396430659.06, 25.33, 44.24
1396430659.44, 25.11, 44.24
1396430659.45, 25.33, 44.24
1396430661.93, 25.11, 44.24
1396430661.94, 25.33, 44.24
